modeling cost,model size
9.936447620391846,562
40,3.1290447154471384,0.2222222222222222
50,3.1698474059003185,0.19444444444444445


modeling cost,model size
1.2604804039001465,281
interval,error,accuracy
20,4.766324873096382,0.23333333333333334
30,3.66920731707315,0.225
60,2.900379876796661,0.06666666666666667
120,2.0973997944501743,0.1
150,3.0172959183673544,0.041666666666666664
200,2.632250509164992,0.05555555555555555
250,1.9013238289205887,0.0


modeling cost,model size
2053.9725852012634,3371
interval,error,accuracy
1,7.799999999999999,1.0
2,9.05352716873199,1.0
3,6.100133460438403,1.0
4,4.772640610104798,1.0
5,3.8903336510962347,1.0
6,3.411992373689179,1.0
7,3.0224594852239832,0.9961240310077519
8,2.7999523355576414,0.9955555555555555
9,2.4305815061963614,0.995
10,2.249828408007607,0.9944444444444445
15,1.8421830314585232,0.9916666666666667
20,1.6476240458015141,0.9777777777777777
30,1.6073473282442414,0.9166666666666666
40,1.3581679389312775,0.8222222222222222
50,1.2714804202483272,0.75
60,1.1076126558005832,0.7
70,1.1116970278044214,0.6153846153846154
80,1.0348279158699807,0.5652173913043478
90,0.9872657743785833,0.6
100,1.0510803059273606,0.5
110,0.9991666666666639,0.4117647058823529
120,0.8445506692160833,0.4
130,0.8022775119617389,0.5
140,0.6950047846890097,0.38461538461538464
150,0.887368421052642,0.4166666666666667
200,0.49866028708134635,0.6666666666666666
250,0.3987019230769189,0.5
300,0.602435282837968,0.16666666666666666


modeling cost,model size
10.155892848968506,562
interval,error,accuracy
1,7.799999999999999,1.0
2,9.356107723577088,1.0
3,6.272012195121848,1.0
4,4.907886178861718,1.0
5,3.9868902439023852,1.0
